iter	Passed	Remaining
0	27	27476
1	50	25234
2	80	26629
3	106	26512
4	130	25986
5	166	27528
6	191	27142
7	218	27106
8	241	26604
9	264	26146
10	288	25980
11	318	26232
12	333	25286
13	369	26048
14	394	25911
15	426	26205
16	454	26288
17	484	26450
18	513	26504
19	540	26486
20	567	26438
21	597	26547
22	626	26629
23	652	26550
24	681	26584
25	710	26617
26	739	26661
27	767	26627
28	798	26746
29	830	26856
30	857	26813
31	888	26862
32	915	26828
33	946	26885
34	974	26859
35	1003	26879
36	1030	26811
37	1055	26713
38	1087	26798
39	1115	26767
40	1155	27026
41	1187	27077
42	1218	27112
43	1247	27094
44	1280	27182
45	1319	27374
46	1351	27404
47	1380	27384
48	1408	27336
49	1436	27293
50	1471	27372
51	1500	27355
52	1528	27319
53	1558	27301
54	1592	27362
55	1614	27222
56	1640	27136
57	1665	27056
58	1696	27055
59	1721	26964
60	1745	26864
61	1777	26896
62	1805	26848
63	1834	26828
64	1865	26834
65	1897	26857
66	1937	26974
67	1964	26926
68	1993	26902
69	2017	26809
70	2040	26701
71	2065	26624
72	2097	26637
73	2123	26570
74	2162	26671
75	2212	26895
76	2237	26817
77	2263	26756
78	2296	26778
79	2326	26755
80	2353	26699
81	2383	26679
82	2410	26627
83	2436	26564
84	2461	26494
85	2495	26525
86	2522	26468
87	2547	26403
88	2575	26365
89	2600	26297
90	2631	26286
91	2656	26218
92	2682	26163
93	2706	26087
94	2734	26047
95	2759	25982
96	2789	25972
97	2813	25894
98	2843	25875
99	2871	25845
100	2900	25815
101	2952	25991
102	3010	26215
103	3055	26325
104	3081	26268
105	3104	26182
106	3128	26112
107	3154	26050
108	3183	26023
109	3205	25934
110	3230	25876
111	3255	25813
112	3285	25791
113	3313	25752
114	3336	25675
115	3362	25622
116	3390	25585
117	3412	25505
118	3435	25434
119	3460	25376
120	3487	25333
121	3512	25277
122	3537	25222
123	3565	25185
124	3590	25133
125	3612	25060
126	3635	24991
127	3663	24958
128	3690	24920
129	3712	24842
130	3737	24793
131	3763	24750
132	3793	24728
133	3816	24663
134	3843	24629
135	3872	24599
136	3897	24551
137	3922	24500
138	3946	24447
139	3979	24445
140	4004	24395
141	4025	24325
142	4051	24278
143	4077	24238
144	4101	24186
145	4124	24124
146	4146	24058
147	4178	24056
148	4202	24004
149	4227	23956
150	4253	23912
151	4280	23882
152	4314	23884
153	4337	23828
154	4362	23784
155	4384	23723
156	4414	23704
157	4440	23663
158	4466	23624
159	4490	23573
160	4519	23551
161	4545	23511
162	4571	23472
163	4593	23415
164	4617	23365
165	4637	23300
166	4668	23284
167	4688	23217
168	4710	23164
169	4733	23108
170	4754	23049
171	4779	23006
172	4798	22938
173	4820	22883
174	4845	22841
175	4872	22813
176	4895	22762
177	4921	22726
178	4949	22703
179	4976	22671
180	4998	22619
181	5024	22582
182	5049	22544
183	5074	22506
184	5095	22446
185	5114	22383
186	5135	22326
187	5164	22307
188	5187	22257
189	5206	22198
190	5225	22133
191	5254	22111
192	5276	22064
193	5296	22006
194	5319	21960
195	5342	21913
196	5367	21879
197	5387	21823
198	5406	21760
199	5424	21698
200	5447	21655
201	5471	21616
202	5492	21562
203	5526	21565
204	5561	21567
205	5589	21544
206	5615	21512
207	5642	21483
208	5672	21469
209	5699	21442
210	5731	21430
211	5767	21438
212	5801	21436
213	5831	21419
214	5875	21451
215	5905	21435
216	5933	21408
217	5961	21383
218	5986	21347
219	6008	21302
220	6031	21261
221	6057	21228
222	6077	21176
223	6103	21145
224	6124	21096
225	6152	21070
226	6174	21027
227	6201	20999
228	6224	20955
229	6247	20915
230	6272	20880
231	6296	20842
232	6317	20797
233	6345	20770
234	6369	20733
235	6394	20700
236	6416	20657
237	6441	20625
238	6462	20577
239	6487	20542
240	6518	20529
241	6548	20510
242	6570	20469
243	6593	20428
244	6618	20394
245	6648	20378
246	6669	20333
247	6691	20290
248	6713	20247
249	6738	20216
250	6758	20168
251	6778	20119
252	6798	20074
253	6824	20043
254	6851	20016
255	6873	19977
256	6894	19933
257	6916	19890
258	6946	19873
259	6966	19827
260	6989	19789
261	7008	19741
262	7031	19705
263	7056	19672
264	7081	19640
265	7106	19610
266	7130	19575
267	7158	19552
268	7179	19508
269	7204	19478
270	7229	19446
271	7254	19415
272	7278	19382
273	7303	19351
274	7328	19320
275	7353	19290
276	7374	19248
277	7394	19203
278	7421	19178
279	7448	19152
280	7469	19112
281	7499	19095
282	7539	19100
283	7566	19076
284	7594	19053
285	7628	19045
286	7657	19023
287	7682	18992
288	7705	18956
289	7735	18939
290	7760	18906
291	7782	18870
292	7803	18830
293	7828	18799
294	7848	18755
295	7868	18715
296	7892	18680
297	7912	18639
298	7935	18605
299	7954	18560
300	7973	18516
301	7991	18469
302	8012	18431
303	8035	18397
304	8053	18351
305	8073	18309
306	8090	18263
307	8111	18223
308	8130	18182
309	8151	18142
310	8171	18103
311	8189	18059
312	8209	18019
313	8232	17984
314	8250	17942
315	8268	17897
316	8289	17859
317	8310	17822
318	8329	17782
319	8348	17741
320	8367	17699
321	8386	17659
322	8407	17622
323	8431	17592
324	8450	17551
325	8469	17510
326	8490	17475
327	8514	17444
328	8534	17406
329	8570	17400
330	8597	17377
331	8622	17348
332	8644	17315
333	8665	17278
334	8691	17253
335	8713	17219
336	8737	17190
337	8755	17148
338	8773	17106
339	8795	17073
340	8821	17047
341	8846	17021
342	8865	16981
343	8883	16940
344	8905	16907
345	8929	16879
346	8947	16838
347	8969	16804
348	8992	16773
349	9025	16760
350	9046	16727
351	9072	16701
352	9097	16673
353	9126	16654
354	9154	16633
355	9180	16607
356	9211	16591
357	9247	16583
358	9273	16558
359	9305	16543
360	9333	16521
361	9357	16492
362	9383	16466
363	9410	16442
364	9438	16419
365	9462	16391
366	9487	16364
367	9519	16347
368	9547	16326
369	9569	16294
370	9594	16266
371	9626	16251
372	9651	16223
373	9680	16203
374	9720	16200
375	9753	16186
376	9787	16173
377	9819	16157
378	9851	16141
379	9877	16115
380	9907	16096
381	9936	16075
382	9967	16058
383	9994	16032
384	10031	16025
385	10063	16006
386	10126	16040
387	10177	16052
388	10265	16123
389	10317	16137
390	10393	16188
391	10436	16186
392	10487	16198
393	10522	16183
394	10551	16161
395	10586	16147
396	10616	16125
397	10642	16097
398	10675	16080
399	10721	16081
400	10752	16061
401	10788	16048
402	10823	16033
403	10858	16019
404	10901	16016
405	10935	15998
406	10964	15974
407	10998	15958
408	11035	15946
409	11076	15939
410	11171	16009
411	11227	16023
412	11260	16004
413	11299	15994
414	11329	15970
415	11354	15940
416	11390	15924
417	11416	15896
418	11441	15865
419	11467	15836
420	11501	15818
421	11530	15792
422	11561	15770
423	11595	15752
424	11620	15721
425	11647	15694
426	11691	15689
427	11730	15676
428	11761	15654
429	11795	15636
430	11828	15615
431	11856	15589
432	11891	15572
433	11931	15560
434	11963	15538
435	11998	15521
436	12028	15496
437	12055	15467
438	12085	15444
439	12118	15424
440	12142	15392
441	12167	15361
442	12197	15335
443	12220	15303
444	12241	15266
445	12263	15232
446	12286	15199
447	12309	15166
448	12335	15137
449	12356	15102
450	12387	15079
451	12412	15049
452	12436	15016
453	12456	14980
454	12482	14951
455	12505	14918
456	12526	14883
457	12547	14848
458	12570	14816
459	12593	14783
460	12614	14749
461	12636	14715
462	12659	14682
463	12687	14656
464	12709	14622
465	12728	14586
466	12755	14557
467	12778	14525
468	12797	14488
469	12814	14449
470	12834	14414
471	12857	14383
472	12882	14352
473	12904	14319
474	12921	14281
475	12939	14244
476	12964	14214
477	12985	14180
478	13004	14144
479	13028	14114
480	13050	14080
481	13076	14053
482	13100	14022
483	13121	13989
484	13141	13954
485	13165	13924
486	13189	13893
487	13208	13858
488	13228	13824
489	13250	13791
490	13273	13759
491	13295	13727
492	13314	13692
493	13334	13657
494	13355	13625
495	13383	13598
496	13404	13566
497	13423	13531
498	13445	13499
499	13470	13470
500	13492	13438
501	13514	13406
502	13533	13372
503	13556	13341
504	13578	13309
505	13602	13280
506	13623	13246
507	13643	13214
508	13669	13186
509	13697	13159
510	13717	13126
511	13733	13090
512	13752	13055
513	13772	13022
514	13792	12989
515	13810	12954
516	13831	12922
517	13851	12889
518	13873	12857
519	13893	12824
520	13911	12789
521	13928	12754
522	13948	12721
523	13971	12691
524	13989	12657
525	14013	12627
526	14031	12593
527	14051	12560
528	14072	12529
529	14096	12500
530	14114	12466
531	14131	12431
532	14152	12400
533	14173	12369
534	14194	12337
535	14214	12305
536	14235	12273
537	14255	12241
538	14272	12207
539	14291	12173
540	14311	12142
541	14329	12108
542	14351	12078
543	14376	12050
544	14394	12017
545	14417	11987
546	14436	11955
547	14456	11924
548	14477	11892
549	14495	11860
550	14519	11831
551	14540	11801
552	14563	11772
553	14585	11741
554	14604	11710
555	14626	11680
556	14649	11651
557	14673	11623
558	14693	11591
559	14711	11559
560	14738	11533
561	14761	11504
562	14780	11472
563	14799	11440
564	14817	11408
565	14837	11377
566	14861	11349
567	14879	11317
568	14898	11284
569	14916	11253
570	14937	11222
571	14960	11194
572	14978	11162
573	14998	11131
574	15016	11099
575	15036	11068
576	15061	11041
577	15080	11010
578	15098	10978
579	15116	10946
580	15137	10917
581	15160	10888
582	15178	10857
583	15197	10825
584	15214	10793
585	15235	10763
586	15260	10736
587	15280	10707
588	15298	10675
589	15317	10644
590	15336	10613
591	15357	10584
592	15380	10556
593	15400	10525
594	15417	10494
595	15437	10464
596	15458	10434
597	15481	10407
598	15500	10376
599	15517	10345
600	15538	10315
601	15560	10287
602	15582	10259
603	15599	10227
604	15617	10196
605	15638	10167
606	15664	10142
607	15685	10113
608	15705	10083
609	15726	10054
610	15746	10025
611	15765	9994
612	15787	9966
613	15805	9936
614	15823	9905
615	15844	9876
616	15864	9847
617	15885	9819
618	15905	9789
619	15924	9759
620	15945	9731
621	15964	9701
622	15981	9670
623	16002	9642
624	16022	9613
625	16044	9585
626	16066	9558
627	16087	9529
628	16107	9500
629	16128	9472
630	16150	9444
631	16169	9415
632	16190	9387
633	16212	9359
634	16231	9329
635	16252	9302
636	16270	9271
637	16289	9242
638	16312	9215
639	16336	9189
640	16358	9161
641	16376	9132
642	16396	9103
643	16416	9074
644	16444	9051
645	16464	9022
646	16485	8994
647	16506	8966
648	16532	8941
649	16554	8913
650	16574	8885
651	16595	8857
652	16618	8830
653	16644	8805
654	16665	8777
655	16684	8748
656	16704	8720
657	16730	8695
658	16752	8668
659	16771	8640
660	16791	8611
661	16812	8584
662	16839	8559
663	16867	8535
664	16886	8506
665	16909	8480
666	16938	8456
667	16958	8428
668	16978	8400
669	17001	8373
670	17024	8347
671	17050	8322
672	17069	8293
673	17089	8265
674	17109	8238
675	17132	8211
676	17154	8184
677	17172	8155
678	17193	8128
679	17216	8101
680	17238	8075
681	17259	8047
682	17280	8020
683	17298	7991
